Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description
API,api,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76fdc8769f00b38ea4d,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Application Programming Interface related content
Advanced,advanced,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f5678e83950660012,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Advanced techniques and deep dives
Architecture,architecture,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f1232a3fc866531bb,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),System architecture and design approaches
Beginner,beginner,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76ff259b5d5d5c4da34,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Content suitable for beginners and learning
Best Practices,best-practices,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f4db5b26a71dc22d3,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Proven best practices and recommendations
Case Study,case-study,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f9b6b4b668496b703,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Real-world examples and case studies
Customer,customer,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f44d0ed14e4626aa1,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Customer-focused content and research
Design,design,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f94378018ae7b072b,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),"Design patterns, principles, and methodologies"
Framework,framework,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f97fd7120a1326fdd,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Structured frameworks and methodologies
Knowledge,knowledge,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f43516770fab9bf6f,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Knowledge management and documentation
Meetings,meetings,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a77036c12d589831139e,false,false,Sat Nov 15 2025 16:16:48 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:48 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Meeting facilitation and management
Organization,organization,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76fdb4f1c69d58cd4fa,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Organization and structure methods
Strategy,strategy,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f33baf10696e4befc,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Strategic planning and decision-making
System,system,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76fa0fd46f0967279a9,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),System-level prompts and configurations
Templates,templates,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f86f793accde7d4af,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Ready-to-use templates and starting points
Testing,testing,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f912be2f27033ec27,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Testing methodologies and quality assurance
Tools,tools,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76f656c77b0576f6790,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),"Tools, utilities, and resources"
Troubleshooting,troubleshooting,6918a6f743d2a868ea2bde9b,6918a642b8cc57edec02f63f,6918a76fc61d5179c4b837fb,false,false,Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:16:47 GMT+0000 (Coordinated Universal Time),Sat Nov 15 2025 16:29:21 GMT+0000 (Coordinated Universal Time),Problem-solving and debugging guides
